id,question,answer,source_url(s),confidence,category,notes
1,What is the legal company name shown in the SugarCRM partner directory?,DEVTAC CRM INC.,https://www.sugarcrm.com/partners/devtaccrm/,high,identity,Vendor partner directory entry title.
2,What is the developer name shown for the Android app 'Frontdesk'?,"DEVTAC CRM, INC.",https://play.google.com/store/apps/details?id=com.devtac.frontdesk,high,identity,Google Play developer field.
3,In what year was Devtac founded?,2009,https://devtac.com/; https://ph.linkedin.com/company/devtaccx,high,history,Stated on Devtac website FAQ and LinkedIn company page.
4,What industry is listed for Devtac on LinkedIn?,Software Development,https://ph.linkedin.com/company/devtaccx,high,identity,LinkedIn 'Industry' field.
5,What company type is listed on LinkedIn for Devtac?,Privately Held,https://ph.linkedin.com/company/devtaccx,high,identity,LinkedIn 'Type' field.
6,What is the company size range listed on LinkedIn for Devtac?,11-50 employees,https://ph.linkedin.com/company/devtaccx,medium,people,LinkedIn company-size band; can change over time.
7,What is Devtac’s headquarters location listed on LinkedIn?,"Tacloban City, Leyte",https://ph.linkedin.com/company/devtaccx,high,location,LinkedIn 'Headquarters' field.
8,What is the primary street address listed on LinkedIn for Devtac?,"166 Avenida Veteranos, Downtown, 2F, Tacloban City, Leyte 6500, Philippines",https://ph.linkedin.com/company/devtaccx,high,location,LinkedIn 'Primary location' address.
9,What address is shown in the Devtac website footer contact block (Tacloban)?,"166 Avenida Veteranos, Downtown, Tacloban City, Leyte",https://devtac.com/contact-us/,high,location,Company website contact footer.
10,What phone number is shown at the top of the Devtac homepage?,+63 954 166 0777,https://devtac.com/,high,contact,Homepage header.
11,What email is shown at the top of the Devtac homepage?,info@devtac.com,https://devtac.com/,high,contact,Homepage header.
12,What phone number is shown in the footer on Devtac’s contact page?,+63 954 166 0777,https://devtac.com/contact-us/,high,contact,Footer contact block.
13,What are Devtac’s published business hours on the contact page?,"Monday to Friday, 8:00 AM – 5:00 PM",https://devtac.com/contact-us/,high,contact,FAQ/footer indicates days/hours.
14,What timezone does Devtac reference for business hours on the contact page?,Philippine Standard Time,https://devtac.com/contact-us/,high,contact,Stated in FAQ area.
15,What is the URL of Devtac’s contact page?,https://devtac.com/contact-us/,https://devtac.com/contact-us/,high,web_presence,Direct page URL.
16,What is the URL of Devtac’s careers page?,https://devtac.com/career/,https://devtac.com/career/,high,web_presence,Direct page URL.
17,What domain is used for Devtac job applications (Apply Now links)?,devtac.zohorecruit.com,https://devtac.com/career/,high,web_presence,Apply Now buttons point to Zoho Recruit domain.
18,What domain is used for Devtac’s customer support portal link on the website?,support.devtac.asia,https://devtac.com/; https://devtac.com/contact-us/,high,web_presence,‘Customer Support’ link label.
19,"According to Devtac’s website, what Zoho partner tier do they claim?",Zoho Premium Partner,https://devtac.com/,high,partnerships,Homepage claim.
20,Does Devtac claim to be the only Zoho Premium Partner in the Philippines?,Yes,https://devtac.com/; https://ph.linkedin.com/company/devtaccx,high,partnerships,Stated on homepage and LinkedIn about blurb.
21,Does LinkedIn 'About us' describe Devtac as a certified SugarCRM partner?,Yes,https://ph.linkedin.com/company/devtaccx,high,partnerships,LinkedIn about blurb.
22,Does LinkedIn 'About us' describe Devtac as a leading provider of SuiteCRM?,Yes,https://ph.linkedin.com/company/devtaccx,high,partnerships,LinkedIn about blurb.
